# French Lessons (Pimsleur)
# Lessons are 20-25 minutes long

date, time, lesson
2023-05-01, 02:27pm, French Lvl1: 01
2023-05-02, 01:30am, French Lvl1: 02
2023-05-02, 11:49am, French Lvl1: 03
2023-05-03, 01:25am, French Lvl1: 04
2023-05-03, 11:57am, French Lvl1: 05
2023-05-04, 01:37am, French Lvl1: 06
2023-05-04, 09:13am, French Lvl1: 07
2023-05-05, 12:39am, French Lvl1: 08
2023-05-05, 12:08pm, French Lvl1: 09
2023-05-06, 02:31pm, French Lvl1: 10
2023-05-07, 11:07am, French Lvl1: 11
2023-05-08, 01:28am, French Lvl1: 12
2023-05-08, 12:33pm, French Lvl1: 13
2023-05-08, 02:02am, French Lvl1: 14
2023-05-08, 01:37pm, French Lvl1: 15
2023-05-09, 12:22am, French Lvl1: 16
2023-05-09, 10:04am, French Lvl1: 17
2023-05-10, 01:24pm, French Lvl1: 18
2023-05-11, 01:27am, French Lvl1: 19
2023-05-11, 02:23pm, French Lvl1: 20
2023-05-12, 12:42am, French Lvl1: 21
2023-05-12, 10:51am, French Lvl1: 22
2023-05-14, 12:20am, French Lvl1: 23
2023-05-14, 12:52am, French Lvl1: 24
2023-05-14, 01:25pm, French Lvl1: 25
2023-05-15, 03:13am, French Lvl1: 26
2023-05-15, 11:08am, French Lvl1: 27
2023-05-16, 12:37am, French Lvl1: 28
2023-05-16, 11:06am, French Lvl1: 29
2023-05-16, 11:05pm, French Lvl1: 30
2023-05-17, 10:19am, French Lvl2: 01
2023-05-18, 05:20pm, French Lvl2: 02
